URL handle,Title,Description,Vendor,Type,Tags,Published on online store,Status,Option1 name,Option1 value,Price
lavado-express-barcelona-wash-hub,Lavado express exterior,"<p>Servicio demo de lavado express exterior para una puesta a punto rapida del vehiculo en Barcelona.</p>",Barcelona Wash Hub,Servicio,"demo,servicio,barcelona,lavado,proveedor-barcelona-wash-hub",true,active,Title,Default Title,29.00
ozono-interior-barcelona-wash-hub,Desinfeccion interior con ozono,"<p>Servicio demo de desinfeccion interior con ozono para eliminar olores y refrescar el habitaculo.</p>",Barcelona Wash Hub,Servicio,"demo,servicio,barcelona,detailing,proveedor-barcelona-wash-hub",true,active,Title,Default Title,59.00
ceramico-detail-lab-bcn,Tratamiento ceramico premium,"<p>Servicio demo de tratamiento ceramico premium para proteger la pintura y mejorar el brillo.</p>",Detail Lab BCN,Servicio,"demo,servicio,barcelona,detailing,proveedor-detail-lab-bcn",true,active,Title,Default Title,349.00
wrap-techo-detail-lab-bcn,Wrap parcial de techo y pilares,"<p>Servicio demo de wrap parcial para techo y pilares con acabado profesional.</p>",Detail Lab BCN,Servicio,"demo,servicio,barcelona,ppf-wrap,proveedor-detail-lab-bcn",true,active,Title,Default Title,260.00
desabollado-sin-pintura-montjuic-car-care,Desabollado sin pintura,"<p>Servicio demo de desabollado sin pintura para pequenos golpes en la carroceria.</p>",Montjuic Car Care,Servicio,"demo,servicio,barcelona,chapa-pintura,proveedor-montjuic-car-care",true,active,Title,Default Title,180.00
mantenimiento-preventivo-montjuic-car-care,Mantenimiento preventivo esencial,"<p>Servicio demo de mantenimiento preventivo con revision de puntos clave del vehiculo.</p>",Montjuic Car Care,Servicio,"demo,servicio,barcelona,mantenimiento-rapido,proveedor-montjuic-car-care",true,active,Title,Default Title,88.00
pulido-faros-gracia-auto-spa,Pulido de faros y opticas,"<p>Servicio demo de restauracion visual de faros para mejorar brillo y visibilidad.</p>",Gracia Auto Spa,Servicio,"demo,servicio,barcelona,detailing,proveedor-gracia-auto-spa",true,active,Title,Default Title,69.00
accesorios-limpieza-gracia-auto-spa,Pack de accesorios de limpieza,"<p>Servicio demo con seleccion de accesorios y productos de limpieza para uso frecuente.</p>",Gracia Auto Spa,Servicio,"demo,servicio,barcelona,accesorios-productos,proveedor-gracia-auto-spa",true,active,Title,Default Title,39.00
reparacion-pinchazos-eixample-tire-center,Reparacion de pinchazos,"<p>Servicio demo de reparacion de pinchazos y comprobacion de presion para volver a circular con seguridad.</p>",Eixample Tire Center,Servicio,"demo,servicio,barcelona,neumaticos-llantas,proveedor-eixample-tire-center",true,active,Title,Default Title,25.00
cambio-llantas-eixample-tire-center,Cambio y montaje de llantas,"<p>Servicio demo de sustitucion y montaje de llantas con ajuste y comprobacion final.</p>",Eixample Tire Center,Servicio,"demo,servicio,barcelona,neumaticos-llantas,proveedor-eixample-tire-center",true,active,Title,Default Title,120.00
wrap-parcial-sants-wrap-studio,Wrap parcial para detalles exteriores,"<p>Servicio demo de wrap parcial para espejos, molduras o piezas especificas de carroceria.</p>",Sants Wrap Studio,Servicio,"demo,servicio,barcelona,ppf-wrap,proveedor-sants-wrap-studio",true,active,Title,Default Title,180.00
sustitucion-luna-sants-wrap-studio,Sustitucion de luna delantera,"<p>Servicio demo de sustitucion de luna delantera con montaje profesional.</p>",Sants Wrap Studio,Servicio,"demo,servicio,barcelona,tintado-lunas,proveedor-sants-wrap-studio",true,active,Title,Default Title,290.00
revision-frenos-costa-garage-express,Revision rapida de frenos,"<p>Servicio demo de comprobacion de frenos, desgaste y respuesta para mantenimiento rapido.</p>",Costa Garage Express,Servicio,"demo,servicio,barcelona,mantenimiento-rapido,proveedor-costa-garage-express",true,active,Title,Default Title,55.00
grua-nocturna-costa-garage-express,Grua nocturna urgente,"<p>Servicio demo de asistencia y traslado nocturno para incidencias fuera de horario habitual.</p>",Costa Garage Express,Servicio,"demo,servicio,barcelona,grua-asistencia,proveedor-costa-garage-express",true,active,Title,Default Title,110.00
cambio-bateria-poblenou-road-assist,Cambio de bateria a domicilio,"<p>Servicio demo de cambio de bateria a domicilio con instalacion y comprobacion de arranque.</p>",Poblenou Road Assist,Servicio,"demo,servicio,barcelona,grua-asistencia,proveedor-poblenou-road-assist",true,active,Title,Default Title,140.00
diagnostico-rapido-poblenou-road-assist,Diagnostico rapido de averia,"<p>Servicio demo de diagnostico rapido para identificar incidencias mecanicas frecuentes.</p>",Poblenou Road Assist,Servicio,"demo,servicio,barcelona,mantenimiento-rapido,proveedor-poblenou-road-assist",true,active,Title,Default Title,65.00
parking-semanal-ramblas-parking-service,Parking semanal en zona centro,"<p>Servicio demo de parking semanal con acceso sencillo y vigilancia en zona centrica.</p>",Ramblas Parking Service,Servicio,"demo,servicio,barcelona,parking,proveedor-ramblas-parking-service",true,active,Title,Default Title,120.00
lavado-premium-ramblas-parking-service,Lavado premium mientras aparcas,"<p>Servicio demo de lavado premium aprovechando la estancia del vehiculo en parking.</p>",Ramblas Parking Service,Servicio,"demo,servicio,barcelona,lavado,proveedor-ramblas-parking-service",true,active,Title,Default Title,48.00
pulido-brillo-besos-auto-essentials,Pulido de brillo rapido,"<p>Servicio demo de pulido de brillo rapido para mejorar el acabado estetico del vehiculo.</p>",Besos Auto Essentials,Servicio,"demo,servicio,barcelona,detailing,proveedor-besos-auto-essentials",true,active,Title,Default Title,95.00
retoque-pintura-besos-auto-essentials,Retoque localizado de pintura,"<p>Servicio demo de retoque localizado para pequenos danos de pintura y acabados cosmeticos.</p>",Besos Auto Essentials,Servicio,"demo,servicio,barcelona,chapa-pintura,proveedor-besos-auto-essentials",true,active,Title,Default Title,125.00
